"","year","win.sst","spr.sum.sst","bifur","win.UW.51","spr.sum.UW.51","win.UW.48","spr.sum.UW.48"
"1950",1950,-0.942167468261804,-1.50030924081802,NA,-12.4,-20.5,-30.2,-12
"1951",1951,-0.432918978458066,-0.838063980473413,NA,5.4,2,-1.8,-4
"1952",1952,-0.274485297393884,-0.690535345342424,NA,20.6,-30,-8.2,-25.5
"1953",1953,-0.0654637926738321,-0.214220999346839,NA,-22.8,-13.5,-40.4,-16.5
"1954",1954,0.494279283226776,-0.720812928676605,NA,12.8,1.5,-1.8,-5.5
"1955",1955,-0.334976827494389,-1.00662264426549,NA,0.2,9.5,-0.2,7
"1956",1956,-0.39718641247228,0.00452579524781956,NA,-37.4,5,-7.6,21
"1957",1957,-0.225061528608619,0.421593587928348,NA,16.8,0.5,23.4,-0.5
"1958",1958,0.996634890577443,1.37254948218664,NA,-64.8,1,-40.2,2.5
"1959",1959,0.455084222496795,0.0628773914443121,NA,-21.8,8,2.6,5.5
"1960",1960,0.573986079237111,-0.0395633233918085,NA,-8.4,-20,3,-32.5
"1961",1961,0.357601064385223,0.403569832113054,NA,-43.2,11.5,-60.2,-1.5
"1962",1962,0.778662389458465,-0.0462651769320171,NA,37.4,-7.5,33.4,-3.5
"1963",1963,0.840706617906273,0.741029184394412,NA,-18.2,0,3.6,-9
"1964",1964,0.255105309295569,-0.660008164246877,NA,9.6,33,21.8,28
"1965",1965,-0.18936719436654,-1.08598044051064,NA,31,15.5,28.8,18
"1966",1966,-0.338638926273007,-0.271155356036292,NA,4.4,11.5,-6.8,33
"1967",1967,-0.189735641140493,-0.181843690077464,1.389348782,14.8,17,6,21.5
"1968",1968,-0.440403531053417,-0.332053911685944,-1.05349239,-0.4,8,-14.8,15
"1969",1969,-0.766366244083066,-0.561400942007701,-0.209053467,5.8,-36,-11.2,-25
"1970",1970,-0.092528910827722,-0.549138730102115,0.333800125,-45,12.5,-23,11.5
"1971",1971,-1.17307624359139,-1.21194220781326,0.122690398,22.6,-6.5,15.6,5
"1972",1972,-1.17663249511727,-0.567217626836565,-0.751907059,22.8,3,29.4,-6
"1973",1973,-0.799147919209883,-0.370857873227861,0.816336655,0.4,-7,-3.6,7
"1974",1974,-0.555147738647546,-0.529994075828129,0.152848926,22.2,-5.5,21.6,-4.5
"1975",1975,-0.735237646823545,-0.762544034587012,1.027446383,9,8.5,19.6,7
"1976",1976,-0.24748773117074,-0.849745855066512,0.454434256,13.4,-26.5,14.4,-7.5
"1977",1977,0.16647621188685,-0.295384922292498,-0.480480263,-9,2,24.6,-5.5
"1978",1978,-0.0311558359782754,0.307929318481021,-0.11857787,-22.8,2.5,-5.2,-2
"1979",1979,-0.338296430036842,-0.074143143494924,0.84649519,37.6,3,32.6,8
"1980",1980,0.107566520182206,0.0485560907257927,-0.420163201,-4.6,-53.5,-52.8,4
"1981",1981,0.359984921688418,-0.0497590555085077,-0.932858259,-56.8,-9.5,-51,-5.5
"1982",1982,-0.326098384518179,-0.63183030684789,1.389348782,17.8,3,4.6,20.5
"1983",1983,0.513836642710283,0.931805956363678,-1.566187454,-44.8,3,-46.2,16
"1984",1984,0.0249958401997031,-0.446527479754554,-1.716980119,-24.4,-37,-24.2,-16.5
"1985",1985,-0.695837207031335,-0.292551688353221,1.781409709,13.2,0,12.2,4.5
"1986",1986,0.0806718130322769,-0.0853263921207853,-1.566187454,-53.6,-15,-55.2,-5
"1987",1987,0.592352797529347,0.0687902516788906,-0.751907059,-7.8,-36.5,-35.6,-1
"1988",1988,0.00947451519427776,-0.0459252980020312,-0.842382662,-0.8,-13.5,-10.2,-11.5
"1989",1989,-0.386271726481205,0.460347362359365,0.635385456,19,4.5,9.2,8
"1990",1990,-0.372597149403975,0.43618944088618,0.303641591,14.6,0.5,42.2,1.5
"1991",1991,-0.292948294406552,-0.189801228046417,0.394117194,29.4,4,34.6,5.5
"1992",1992,0.648770305124833,1.03798069026735,-0.721748525,-33.2,-5.5,-20.4,2
"1993",1993,0.00229184290559504,0.925985787974464,-2.229675177,5.6,-53,4.8,-37.5
"1994",1994,0.239694133673689,0.63040585120519,0.454434256,7.6,-10.5,25.2,-6
"1995",1995,0.341629891204749,0.974767129951053,-0.058260802,-7.6,2,-48.8,4.5
"1996",1996,0.0991060726588774,0.0312304642465378,-1.17412652,5.6,-37.5,-9,-32.5
"1997",1997,0.591971348995547,0.933587102095286,-0.510638797,-2.2,-15.5,26.8,-10.5
"1998",1998,1.19249014782367,1.00312731133567,-0.299529063,-49,4.5,-55.6,0
"1999",1999,-0.0391667002360879,-0.707602724764082,-0.329687598,-11.4,-4.5,-73.8,3.5
"2000",2000,0.0465383999293852,0.339201213253869,-0.540797332,-2.8,-8,-4.8,-9.5
"2001",2001,0.000796100107743466,-0.431568992137909,1.389348782,-14.4,-9,0.2,-1.5
"2002",2002,0.118012697770775,-0.370750200748444,0.96712932,11.2,7.5,-10.2,1
"2003",2003,0.617406160905541,0.778711505730947,1.389348782,-72.8,-2.5,-63,-12
"2004",2004,0.0521130077785063,1.24233754608366,0.213165994,-13.6,2.5,-30.8,-1.5
"2005",2005,0.386961496480221,1.15102942917082,0.18300746,33.2,-9,45.8,-17
"2006",2006,0.0829512959797324,0.202400659190284,1.298873179,-2.8,-7.5,17,-0.5
"2007",2007,-0.421697559017691,-0.146055114269257,-0.450321729,-5,-26.5,21.8,4
"2008",2008,-0.713762861548615,-1.2219121310446,0.66554399,19,7,46.8,2.5
"2009",2009,-0.795226972029029,-0.609517665704091,1.871885312,25.2,5,51.6,3
"2010",2010,0.403792936876,0.000446506341298281,-1.35507772,-103.2,-4,-50.8,-2
"2011",2011,-0.333983130645837,0.017296262582143,-0.058260802,-9.6,-2,-1.8,-5.5
"2012",2012,-0.254844056956059,-0.21170074277454,-0.782065593,8.8,-30.5,21.8,-10.5
"2013",2013,-0.392105458238475,0.297338884406619,0.786178121,9.4,11.5,35.6,0.5
